task,activity,pdf_path,error,F,O,T,E,R,C,B,name,id
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/75440.pdf,,,1,3,14,,1,,The Monster Amiba,06d28-75440
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/76472.pdf,,,1,3,10,,2,,Mouse of a computer,06d28-76472
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/76574.pdf,,,1,3,28,,2,,The unbalanced world,06d28-76574
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/76935.pdf,,,1,0,11,,2,,Butterfly,06d28-76935
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/57179.pdf,,,1,2,1,,2,,The girl who cried wolf and was punished by being banned from talking,7cbb2-57179
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/68472.pdf,,,0,1,0,,0,,anthony Werner,7cbb2-68472
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/68528.pdf,,,1,2,5,,2,,Relaxing at the spa,7cbb2-68528
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/68617.pdf,,,1,2,7,,2,,Come fly with Me,7cbb2-68617
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/70449.pdf,,,1,3,0,,2,,Seed of life,7cbb2-70449
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/73113.pdf,,,1,2,3,,2,,The scary ghost in the closet,7cbb2-73113
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/74688.pdf,,,1,1,3,,2,,THE KRAKEN,7cbb2-74688
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/74943.pdf,,,0,1,9,,1,,The blackbean on the unseen,7cbb2-74943
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/76298.pdf,,,1,3,3,,2,,A Rose Among Torns,7cbb2-76298
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/76805.pdf,,,1,3,6,,2,,… in a giant pickle,7cbb2-76805
bookletb,activity1,../../data/ttct_figural/Mills Am 213 Sunday TTCT/76952.pdf,,,1,3,7,,2,,"""The Journey""",7cbb2-76952
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Eberhart PM SAT TTCT EOL3_UM/74748_Unmatched.pdf,,,0,3,20,,,,Oil reverses Germination project,9f143-74748_Unmatched
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Eberhart PM SAT TTCT EOL3_UM/75532_Unmatched.pdf,,,0,3,22,,,,Being afraid anymore,9f143-75532_Unmatched
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Eberhart PM SAT TTCT EOL3_UM/76345_Unmatched.pdf,,,1,0,0,,1,,,9f143-76345_Unmatched
bookletb,activity1,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/62407.pdf,,,1,2,0,,0,,Ahh… Ahha,30e2f-62407
bookletb,activity1,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/66530.pdf,,,1,2,8,,2,,Cure for cancer - State of the art technology,30e2f-66530
bookletb,activity1,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/71234.pdf,,,1,0,0,,0,,,30e2f-71234
bookletb,activity1,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/71234.pdf,,,1,2,8,,2,,Swimming and having fun,30e2f-71234
bookletb,activity1,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/74171.pdf,,,1,3,1,,1,,Gimme the Cheese,30e2f-74171
bookletb,activity1,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/74411.pdf,,,1,1,6,,2,,"The underground town, the giant and the midget ",30e2f-74411
bookletb,activity1,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/74432.pdf,,,1,1,5,,1,,Happy Pumpkin,30e2f-74432
bookletb,activity1,./../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/75615.pdf,,,1,1,1,,0,,Cookie monster face,
bookletb,activity1,"../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/75788.pdf					",,,1,2,7,,2,,Jumping in the Oasis,
bookletb,activity1,"../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76346.pdf					",,,1,0,1,,2,,The Face,
bookletb,activity1,../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76440.pdf,,,0,1,4,,0,,Sausage Factory,30e2f-76440
bookletb,activity1,"../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76767.pdf					",,,1,3,2,,2,,Vengence she/her,
bookletb,activity1,"../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76888.pdf					",,,0,1,0,,0,,Hot Dog with bread,
bookletb,activity1,"../../data/ttct_figural/Pre-Spring 12 Conrad Am Thru TTCT PRE/76948.pdf					",,,1,0,2,,0,,,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/0694.pdf				",,,1,2,40,,2,,Wait … What?,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/0921.pdf				",,,1,1,6,,2,,Sailing Zory,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/0979.pdf				",,,1,2,7,,2,,In the jaws of lite,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1172.pdf				",,,1,1,11,,1,,The banana boat,
bookletb,,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1304.pdf				",,,1,3,12,,2,,The Evil Little Man,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1367.pdf				",,,1,1,12,,2,,The Spider,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1556.pdf				",,,0,3,2,,1,,The boy who loved to eat hotdogs,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1561.pdf				",,,1,0,12,,2,,,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/1727.pdf				",,,1,6,3,,,,Indifferences,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/6368.pdf				",,,1,9,1,,2,,Potato Gun,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/6397.pdf				",,,1,3,23,,,,One cheer for orderves,
bookletb,activity1,"../../data/ttct_figural/TTCT Pre ASS SS2011 E0L2/9558.pdf				",,,,,,,,,A hotdog and coke - A good combination,
bookletb,activity1,"../../data/ttct_figural/Eberhart Pm CA 213 TTCT Post Fall 2012/69224.pdf					",,,0,1,1,,6,,Free spirit,
bookletb,activity1,"../../data/ttct_figural/Eberhart Pm CA 213 TTCT Post Fall 2012/78096.pdf					",,,0,2,3,,1,,The ghost of stewart the afterborn potato,
bookletb,activity1,"../../data/ttct_figural/Eberhart Pm CA 213 TTCT Post Fall 2012/79194.pdf					",,,0,2,6,,0,,Hot dog in the park,
bookletb,activity1,"../../data/ttct_figural/Eberhart Pm CA 213 TTCT Post Fall 2012/80410.pdf					",,,1,1,2,,1,,The Harry,
bookletb,,"../../data/ttct_figural/Eberhart Pm CA 213 TTCT Post Fall 2012/80411.pdf					",,,,,,,,,,
bookletb,activity1,./../data/ttct_figural/Unmatched/Booklets/62203-68203_Fri Am Gumbs TTCT.pdf,,,1,1,14,,2,,Fat Eagle,
bookletb,activity1,./../data/ttct_figural/Unmatched/Booklets/62203-68203_Fri Am Gumbs TTCT.pdf,,,1,3,12,,2,,Eyes upon me,
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/61601.pdf,,,0,3,8,,1,,My hotdog has a first name,124a7-61601
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/66412.pdf,,,1,3,30,,3,,Sunday afternoon at lake Omaha,124a7-66412
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/69433.pdf,,,1,1,22,,2,,Mr Potatohead,124a7-69433
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/71246.pdf,,,0,1,20,,1,,Under the Sea Life,124a7-71246
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/71558.pdf,,,1,1,28,,2,,The big nose lady,124a7-71558
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/73534.pdf,,,1,2,11,,1,,The Mask Man: Part 1,124a7-73534
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/74768.pdf,,,1,3,16,,2,,The Awkard Fairy,124a7-74768
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/75406.pdf,,,1,0,2,,1,,Duck Face,124a7-75406
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/75589.pdf,,,0,3,9,,1,,A night at the movie,124a7-75589
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/75925.pdf,,,1,1,0,,0,,The tup of cruches,124a7-75925
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thu AM McMammon FS11 213_UM/708985.pdf,,,0,3,14,,2,,The bean that ended world Hunger,124a7-708985
bookletb,activity1,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/64533.pdf,,,0,1,0,,3,,The last voyage,499e0-64533
bookletb,activity1,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/71277.pdf,,,0,1,1,,0,,Feather duster worm,499e0-71277
bookletb,,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/71369.pdf,,,,,,,,,,499e0-71369
bookletb,activity1,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/75273.pdf,,,1,1,0,,1,,Your worst nightmare,499e0-75273
bookletb,activity1,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/75689.pdf,,,0,1,7,,1,,Bean in ocean,499e0-75689
bookletb,activity1,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/78555.pdf,,,0,1,0,,0,,Psuedosaurus Rex,499e0-78555
bookletb,activity1,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/78780.pdf,,,1,2,18,,2,,Possibility,499e0-78780
bookletb,activity1,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/079811.pdf,,,0,1,0,,1,,Mr Crab,499e0-079811
bookletb,,../../data/ttct_figural/Sun Am Mills Fall 2012 TTCT Post/080111.pdf,,,,,,,,,,499e0-080111
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/49769.pdf,,,1,1,5,,2,,Project X,01121-49769
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/72318.pdf,,,0,0,9,,2,,Jelly Fish,01121-72318
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/72950.pdf,,,1,1,16,,2,,Box Cutter,01121-72950
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74133.pdf,,,1,3,33,,2,,"Go Ahead, I Dare You!",01121-74133
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74506.pdf,,,1,3,44,,2,,The Seed of Life,01121-74506
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74652.pdf,,,1,3,2,,1,,The Furious Pear,01121-74652
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74741.pdf,,,1,0,17,,1,,,01121-74741
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74745.pdf,,,1,0,21,,2,,Scoop,01121-74745
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/74945.pdf,,,0,1,45,,2,,Crying Butterfly,01121-74945
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75174.pdf,,,0,3,14,,2,,The fat hot dog that could,01121-75174
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75426.pdf,,,0,1,6,,1,,String Sausage,01121-75426
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75590.pdf,,,1,2,29,,2,,A hard working farmer,01121-75590
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75617.pdf,,,0,0,14,,1,,,01121-75617
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/75930.pdf,,,1,2,0,,0,,The spoiled pickle,01121-75930
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/76893.pdf,,,1,2,51,,1,,A big adventure,01121-76893
bookletb,activity1,../../data/ttct_figural/Gumbs FRI PM FSII TTCT/77244.pdf,,,1,1,32,,2,,Gretzky,01121-77244
bookletb,activity1,../../data/ttct_figural/Sun PM Mills Fall 2012 TTCT Post/07576.pdf,,,1,3,5,,1,,"Open wide, little mouth ",6678b-07576
bookletb,activity1,../../data/ttct_figural/Sun PM Mills Fall 2012 TTCT Post/41315.pdf,,,0,2,8,,2,,Unbelievable,6678b-41315
bookletb,activity1,../../data/ttct_figural/Sun PM Mills Fall 2012 TTCT Post/63435.pdf,,,1,2,2,,1,,Wings of web,6678b-63435
bookletb,activity1,../../data/ttct_figural/Sun PM Mills Fall 2012 TTCT Post/75211.pdf,,,0,0,8,,2,,Butterfly,6678b-75211
bookletb,activity1,../../data/ttct_figural/Sun PM Mills Fall 2012 TTCT Post/75288.pdf,,,1,1,1,,0,,Rum cantine,6678b-75288
bookletb,activity1,../../data/ttct_figural/Sun PM Mills Fall 2012 TTCT Post/75417.pdf,,,1,2,9,,1,,All about the pickle,6678b-75417
bookletb,activity1,../../data/ttct_figural/Sun PM Mills Fall 2012 TTCT Post/76327.pdf,,,1,1,2,,1,,Butterfly garden,6678b-76327
bookletb,activity1,../../data/ttct_figural/Sun PM Mills Fall 2012 TTCT Post/76853.pdf,,,1,0,11,,0,,,6678b-76853
